title,author,price,img
온톨로지 과학자를 위한 지식그래프,"딘 알레망 , 제임스 핸들러 , 파비엔 갠던",45000,https://www.hanbit.co.kr/data/books/B5160362412_m.jpg
"IT CookBook, 시스템 프로그래밍: 리눅스&유닉스",이종원,28000,https://www.hanbit.co.kr/data/books/B3943456030_m.jpg
한번에 적용하는 분석,히든그레이스 데이터분석팀,24000,https://www.hanbit.co.kr/data/books/B6452589658_m.jpg
인공지능 논리 입문,이은정,22000,https://www.hanbit.co.kr/data/books/B4517369064_m.jpg
"IT CookBook, 처음 만나는 전기기기(2판)","최은혁 , 박숭규",24000,https://www.hanbit.co.kr/data/books/B6434597961_m.jpg
"IT CookBook, 현대 센서공학(5판)",Jacob Fraden,35000,https://www.hanbit.co.kr/data/books/B4633012179_m.jpg
"IT CookBook, 모바일 웹 서비스 구현을 위한 JSP 웹 프로그래밍","김현규 , 박유현",30000,https://www.hanbit.co.kr/data/books/B1265976064_m.jpg
미래조직을 위한 조직설계의 이해(4판),"현선해 , 최세경 , 서문교",22000,https://www.hanbit.co.kr/data/books/B9009516784_m.jpg
쉽게 배우고 익히는 회계원리(4판),"정용기 , 김선미 , 임영제 , 신영직 , 유지선",30000,https://www.hanbit.co.kr/data/books/B7533828722_m.jpg
쉽게 배우고 익히는 회계원리[객관식/학습문제 해답](4판),"정용기 , 김선미 , 임영제 , 신영직 , 유지선",7000,https://www.hanbit.co.kr/data/books/B1833400260_m.jpg
"IT CookBook, 짧고 굵게 배우는 JSP 웹 프로그래밍과 스프링 프레임워크",황희정,27000,https://www.hanbit.co.kr/data/books/B6993093151_m.jpg
데이터베이스 시스템(7판),"Abraham Silberschatz , Henry F. Korth , S. Sudarshan",45000,https://www.hanbit.co.kr/data/books/B9949658683_m.jpg
비즈니스 애널리틱스,"Sanjiv Jaggia , Alison Kelly , Kevin Lertwachara , Leida Chen",38000,https://www.hanbit.co.kr/data/books/B2179952545_m.jpg
