연도,월,행정구역구분명,행정구역명,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수 (남),0~9세 (남),10~19세 (남),20~29세 (남),30~39세 (남),40~49세 (남),50~59세 (남),60~69세 (남),70~79세 (남),80~89세 (남),90~99세 (남),100세 이상 (남),총 인구수 (여),0~9세 (여),10~19세 (여),20~29세 (여),30~39세 (여),40~49세 (여),50~59세 (여),60~69세 (여),70~79세 (여),80~89세 (여),90~99세 (여),100세 이상 (여)
2022,12,읍면동,경기도 고양시 일산동구 마두2동,15803,986,2108,2074,1440,2694,3093,1802,773,718,113,2,7438,504,1072,1034,641,1173,1490,909,327,244,43,1,8365,482,1036,1040,799,1521,1603,893,446,474,70,1
2022,12,읍면동,경기도 고양시 일산동구 백석1동,29619,1801,2511,4356,4420,4562,5663,3801,1519,869,116,1,14070,903,1292,2080,2161,2186,2586,1870,626,334,32,0,15549,898,1219,2276,2259,2376,3077,1931,893,535,84,1
2022,12,읍면동,경기도 고양시 일산동구 백석2동,20423,755,1201,3211,3283,3344,3964,2615,1204,736,106,4,9799,374,614,1467,1606,1617,2001,1336,524,235,24,1,10624,381,587,1744,1677,1727,1963,1279,680,501,82,3
2022,12,읍면동,경기도 고양시 일산동구 식사동,40643,3875,5376,5150,4626,7775,7371,4037,1482,822,128,1,19742,1993,2726,2566,2128,3623,3644,2100,644,288,30,0,20901,1882,2650,2584,2498,4152,3727,1937,838,534,98,1
2022,12,읍면동,경기도 고양시 일산동구 장항1동,11120,1275,982,1195,1671,2180,1913,1230,463,185,24,2,5627,662,509,613,778,1099,987,656,246,74,3,0,5493,613,473,582,893,1081,926,574,217,111,21,2
2022,12,읍면동,경기도 고양시 일산동구 장항2동,26836,888,1472,4679,4965,4461,5113,2943,1270,908,130,7,13158,472,713,2152,2573,2177,2583,1552,543,342,47,4,13678,416,759,2527,2392,2284,2530,1391,727,566,83,3
2022,12,읍면동,경기도 고양시 일산동구 정발산동,22709,1106,1941,3454,2897,3127,4389,3329,1502,832,130,2,10950,575,981,1789,1511,1430,2043,1609,670,314,27,1,11759,531,960,1665,1386,1697,2346,1720,832,518,103,1
2022,12,읍면동,경기도 고양시 일산동구 중산1동,21244,951,1706,3044,2343,2725,4314,3514,1419,1035,191,2,10296,462,907,1613,1201,1324,1966,1799,619,348,56,1,10948,489,799,1431,1142,1401,2348,1715,800,687,135,1
2022,12,읍면동,경기도 고양시 일산동구 중산2동,24260,1953,2380,3104,2849,3945,4630,3167,1312,793,125,2,11602,1000,1201,1630,1391,1885,2116,1505,571,275,28,0,12658,953,1179,1474,1458,2060,2514,1662,741,518,97,2
2022,12,읍면동,경기도 고양시 일산동구 풍산동,37850,2716,4187,5042,4351,6134,7005,4957,2080,1186,185,7,18201,1377,2141,2578,2118,2868,3322,2430,870,441,54,2,19649,1339,2046,2464,2233,3266,3683,2527,1210,745,131,5
2022,12,구,경기도 고양시 일산서구 ,290738,19027,31284,38776,34186,46878,56191,36532,15791,10455,1572,46,140815,9620,15963,19918,16880,22092,26967,18407,6728,3781,449,10,149923,9407,15321,18858,17306,24786,29224,18125,9063,6674,1123,36
2022,12,읍면동,경기도 고양시 일산서구 가좌동,19239,1223,2388,2497,1696,3253,4001,2349,1147,604,81,0,9531,590,1203,1334,821,1524,2092,1202,508,235,22,0,9708,633,1185,1163,875,1729,1909,1147,639,369,59,0
2022,12,읍면동,경기도 고양시 일산서구 대화동,35392,2026,2762,5740,5182,5223,6710,4571,1908,1112,153,5,17231,1026,1441,2845,2670,2548,3151,2277,851,380,41,1,18161,1000,1321,2895,2512,2675,3559,2294,1057,732,112,4
2022,12,읍면동,경기도 고양시 일산서구 덕이동,31342,2506,3765,3871,3408,5599,6066,3730,1464,806,122,5,15364,1261,1903,1951,1656,2709,2997,1891,676,297,23,0,15978,1245,1862,1920,1752,2890,3069,1839,788,509,99,5
2022,12,읍면동,경기도 고양시 일산서구 송포동,20998,1449,2089,2750,2669,3377,4101,2665,1124,661,109,4,10347,693,1090,1491,1300,1597,1976,1363,524,283,28,2,10651,756,999,1259,1369,1780,2125,1302,600,378,81,2
2022,12,읍면동,경기도 고양시 일산서구 일산1동,26304,1634,2417,3606,3059,3858,5068,3733,1719,1059,147,4,12659,841,1212,1855,1506,1871,2359,1828,732,414,41,0,13645,793,1205,1751,1553,1987,2709,1905,987,645,106,4
2022,12,읍면동,경기도 고양시 일산서구 일산2동,17794,764,1265,2432,1856,2211,3966,3171,1230,780,119,0,8808,379,643,1315,948,1081,1973,1638,522,277,32,0,8986,385,622,1117,908,1130,1993,1533,708,503,87,0
2022,12,읍면동,경기도 고양시 일산서구 일산3동,34319,2254,5406,4235,3383,6452,6538,3639,1364,889,155,4,16575,1168,2765,2204,1641,2837,3123,1913,571,315,37,1,17744,1086,2641,2031,1742,3615,3415,1726,793,574,118,3
