시군구,공원면적
경기도 평택시 용이동 602-2,45228.6
경기도 평택시 팽성읍 노성리 42-1,999.0
경기도 평택시 팽성읍 노성리 79-9,999.0
경기도 평택시 팽성읍 노양리 40-15,999.0
경기도 평택시 팽성읍 노양리 14-9,999.0
경기도 평택시 팽성읍 노와리 95-1,1394.0
경기도 평택시 팽성읍 노와리 244-2,668.0
경기도 평택시 팽성읍 노와리 153-190,694.0
경기도 평택시 팽성읍 대사리 205-7,851.0
경기도 평택시 팽성읍 동창리 121-2,1114.0
경기도 평택시 팽성읍 두리 123-14,890.0
경기도 평택시 팽성읍 두리 36-18,570.0
경기도 평택시 팽성읍 두정리 138-6,760.0
경기도 평택시 팽성읍 두정리 163-127,668.0
경기도 평택시 동삭동 710,10715.0
경기도 평택시 동삭동 719,11378.0
경기도 평택시 비전동 473-78,4861.0
경기도 평택시 동삭동 산25-1,11296.0
경기도 평택시 동삭동 산1,12214.0
경기도 평택시 용이동 산122번지,21262.6
경기도 평택시 세교동 556-1,10133.9
경기도 평택시 소사동 산13-1,19494.0
경기도 평택시 팽성읍 송화리 106-1,41950.0
경기도 평택시 용이동 744-1번지,17877.0
경기도 평택시 팽성읍 송화리 68-55,26350.0
경기도 평택시 소사동 506,13057.0
경기도 평택시 동삭동 589-3,13139.0
경기도 평택시 세교동 392답,13847.0
경기도 평택시 용이동 441-1,21590.0
경기도 평택시 동삭동 467-9,11669.0
경기도 평택시 세교동 산86-1,276422.0
경기도 평택시 용이동 483,16742.0
경기도 평택시 용이동 561-1번지,49638.6
경기도 평택시 지제동 624-2답,44650.0
경기도 평택시 세교동 55,11209.0
경기도 평택시 팽성읍 남산리 산49-1,43411.0
경기도 평택시 팽성읍 송화리 789,15253.8
경기도 평택시 팽성읍 안정리 78-27,29511.0
경기도 평택시 비전동 1005-1 1028-3 1089-3,59205.0
경기도 평택시 죽백동 728공,42417.7
경기도 평택시 비전동 산84-14,145023.0
경기도 평택시 비전동 880,29821.0
경기도 평택시 비전동 875,10578.0
경기도 평택시 동삭동 산38-2,11039.0
경기도 평택시 죽백동 764공,44947.1
경기도 평택시 죽백동 800공,277072.9
경기도 평택시 팽성읍 객사리 산3,1740.0
경기도 평택시 비전동 274-6,0.0
경기도 평택시 현덕면 운정리 산2-1,46588.0
경기도 평택시 청북면 옥길리 1090,23286.8
경기도 평택시 청북면 어연리 898-1,13995.2
경기도 평택시 현덕면 장수리 264-18,58462.0
경기도 평택시 현덕면 권관리 824,31877.0
경기도 평택시 현덕면 권관리 705,30498.0
경기도 평택시 안중읍 안중리 산17-1,52500.0
경기도 평택시 청북면 현곡리 산94-7,26600.0
경기도 평택시 포승읍 도곡리 1110,15000.1
경기도 평택시 청북면 옥길리 1155,40508.4
경기도 평택시 포승읍 만호리 산9-1,29869.8
경기도 평택시 청북면 현곡리 산10-5,61106.0
경기도 평택시 포승읍 원정리 1355,118326.7
경기도 평택시 청북면 어연리 888,14693.1
경기도 평택시 청북면 옥길리 1173,14980.4
경기도 평택시 청북면 옥길리 1142,75770.5
경기도 평택시 안중읍 송담리 724,22458.0
경기도 평택시 청북면 옥길리 1124,35492.6
경기도 평택시 포승읍 만호리 589,143996.8
경기도 평택시 안중읍 안중리 산78-8,11642.0
경기도 평택시 안중읍 현화리 823-2,11016.2
경기도 평택시 가재동 산88-2,3240.0
경기도 평택시 진위면 가곡리 79-1,2202.0
경기도 평택시 장안동 산129-2,1535.0
경기도 평택시 진위면 봉남리 444-1,1687.0
경기도 평택시 도일동 965-5,2226.0
경기도 평택시 지산동 1088,2444.2
경기도 평택시 지산동 689-3,390.0
경기도 평택시 지산동 1092,1847.9
경기도 평택시 지산동 1237-4,975.0
경기도 평택시 서정동 790,1657.3
경기도 평택시 서정동 855,1608.8
경기도 평택시 서정동 1119,2285.0
경기도 평택시 서정동 833,1656.2
경기도 평택시 서정동 1125,3700.0
경기도 평택시 고덕면 두릉리 646대,88595.0
경기도 평택시 칠원동 417-1,10849.0
경기도 평택시 도일동 582-3,10110.0
경기도 평택시 가재동 128,15574.0
경기도 평택시 안중읍 현화리 산350-4임,11082.0
경기도 평택시 현덕면 운정리 산72-1,14126.0
경기도 평택시 현덕면 운정리 산63-3,23523.0
경기도 평택시 현덕면 화양리 산161,177252.0
경기도 평택시 현덕면 운정리 산40-1,29593.0
경기도 평택시 현덕면 운정리 산20,58544.0
경기도 평택시 서정동 786,1652.2
경기도 평택시 독곡동 489,2211.8
경기도 평택시 지산동 1026,2110.6
경기도 평택시 칠원동 산39-4,2071.0
경기도 평택시 칠원동 250-8,1984.0
경기도 평택시 서정동 906,1654.1
경기도 평택시 칠원동 산36-7,3627.0
경기도 평택시 칠원동 128-2,4029.0
경기도 평택시 독곡동 472,1782.8
경기도 평택시 서정동 868,1654.7
경기도 평택시 서정동 809,1592.2
경기도 평택시 장당동 631-1,2147.6
경기도 평택시 도일동 1167-1,6523.1
경기도 평택시 이충동 590,3159.4
경기도 평택시 장당동 469-2,2395.0
경기도 평택시 장안동 620,3373.0
경기도 평택시 서정동 881,1654.9
경기도 평택시 가재동 442,1730.0
경기도 평택시 장안동 60-1,1515.0
경기도 평택시 진위면 하북리 94-1,1542.0
경기도 평택시 가재동 534,2590.0
경기도 평택시 진위면 견산리 393,2526.0
경기도 평택시 장안동 211-3,1510.0
경기도 평택시 고덕면 두릉리 산42임,1522.0
경기도 평택시 고덕면 두릉리 631-1답,2182.0
경기도 평택시 고덕면 두릉리 593-4답,2345.0
경기도 평택시 고덕면 해창리 490-2대,1511.0
경기도 평택시 고덕면 율포리 438-11임,2369.0
경기도 평택시 고덕면 율포리 376전,1868.0
경기도 평택시 고덕면 해창리 61-1답,1857.0
경기도 평택시 고덕면 당현리 524-2답,9166.0
경기도 평택시 고덕면 율포리 480답,8114.0
경기도 평택시 고덕면 율포리 106답,9077.0
경기도 평택시 고덕면 해창리 382존,6614.0
경기도 평택시 서정동 692-5대,2542.0
경기도 평택시 서정동 산127-13임,5638.0
경기도 평택시 지산동 1136,1616.7
경기도 평택시 이충동 631,1536.2
경기도 평택시 장당동 641-9,1500.0
경기도 평택시 이충동 676,4039.3
경기도 평택시 이충동 687,1997.2
경기도 평택시 서정동 845,1600.1
경기도 평택시 칠원동 393-4,4053.0
경기도 평택시 칠원동 388-4,5143.0
경기도 평택시 고덕면 두릉리 797-1,1872.8
경기도 평택시 지산동 1260,4205.0
경기도 평택시 장당동 632-1,2500.1
경기도 평택시 칠원동 산62-3,3410.0
경기도 평택시 고덕면 여염리 315답,11782.0
경기도 평택시 도일동 983-7,61615.0
경기도 평택시 칠원동 289-25,21187.0
경기도 평택시 가재동 479-1,1100.0
경기도 평택시 가재동 479-1,6560.0
경기도 평택시 칠원동 286,13256.0
경기도 평택시 서정동 산110-4임,6557.0
경기도 평택시 고덕면 두릉리 529-1답,1770.0
경기도 평택시 고덕면 좌교리 399-1답,4449.0
경기도 평택시 고덕면 해창리 485-1장,3888.0
경기도 평택시 고덕면 해창리 437-1답,1520.0
경기도 평택시 고덕면 여염리 산60임,3378.0
경기도 평택시 서정동 산1-1임,1853.0
경기도 평택시 고덕면 율포리 334-2전,3898.0
경기도 평택시 서정동 632답,2049.0
경기도 평택시 서정동 617-7답,6117.0
경기도 평택시 고덕면 여염리 326-4답,2072.0
경기도 평택시 고덕면 율포리 184-6장,2098.0
경기도 평택시 고덕면 좌교리 270답,4674.0
경기도 평택시 고덕면 해창리 15-2장,2280.0
경기도 평택시 고덕면 해창리 733-27임,2258.0
경기도 평택시 고덕면 여염리 373-2답,1585.0
경기도 평택시 고덕면 여염리 산66임,1712.0
경기도 평택시 고덕면 여염리 296-2답,1864.0
경기도 평택시 장당동 531답,2134.0
경기도 평택시 서정동 678-36대,1625.0
경기도 평택시 서정동 산126-4과,1509.0
경기도 평택시 고덕면 여염리 1652공,2099.3
경기도 평택시 고덕면 여염리 1666공,2238.5
경기도 평택시 서탄면 장등리 466-8,1084.0
경기도 평택시 서탄면 장등리 451-9,1000.0
경기도 평택시 진위면 하북리 140-11,1900.0
경기도 평택시 진위면 하북리 170-1,2257.0
경기도 평택시 진위면 마산리 336,8731.0
경기도 평택시 진위면 마산리 산52,1500.0
경기도 평택시 칠원동 58-1 58-3 50 49-6,3863.0
경기도 평택시 서정동 833,850.0
경기도 평택시 칠원동 451-2,9484.0
경기도 평택시 고덕면 궁리 424-25,112245.0
경기도 평택시 고덕면 율포리 65답,11800.0
경기도 평택시 고덕면 여염리 281-8답,10395.0
경기도 평택시 고덕면 율포리 산11-5임,26763.0
경기도 평택시 장당동 559-1대,13428.0
경기도 평택시 고덕면 율포리 2-6목,8285.0
경기도 평택시 장당동 524-58답,30638.0
경기도 평택시 고덕면 해창리 99답,4809.0
경기도 평택시 고덕면 궁리 303-2목,67862.0
경기도 평택시 고덕면 해창리 66답,56051.0
경기도 평택시 고덕면 궁리 310답,15746.0
경기도 평택시 고덕면 좌교리 94답,8662.0
경기도 평택시 고덕면 여염리 377답,7599.0
경기도 평택시 고덕면 여염리 362-1답,35231.0
경기도 평택시 고덕면 율포리 98답,11150.0
경기도 평택시 진위면 마산리 829-1,999.0
경기도 평택시 신장동 327-15 327-14 326-5~7,451.0
경기도 평택시 고덕면 문곡리 419 419-1,1000.0
경기도 평택시 서탄면 수월암리 406 409 434-1,991.0
경기도 평택시 진위면 신리 126-3,793.0
경기도 평택시 신장동 646-8,738.0
경기도 평택시 서정동 972,1002.0
경기도 평택시 진위면 하북리 187-12,999.0
경기도 평택시 진위면 하북리 350-11,999.0
경기도 평택시 서탄면 회화리 133,960.0
경기도 평택시 고덕면 율포리 356-9잡,148156.0
경기도 평택시 지산동 519-4,101095.0
경기도 평택시 고덕면 해창리 1141-1,1230.4
경기도 평택시 서탄면 금암리 469-8,1009.0
경기도 평택시 도일동 525,303.0
경기도 평택시 칠원동 334-4,920.0
경기도 평택시 칠원동 337-1,1356.0
경기도 평택시 서정동 780,4434.8
경기도 평택시 고덕면 여염리 1665공,2280.1
경기도 평택시 독곡동 산69-3,990.0
경기도 평택시 칠원동 440-3,1704.0
경기도 평택시 신장동 170-3,2925.0
경기도 의왕시 내손동 722,21867.0
경기도 평택시 칠원동 산36-36,12317.0
경기도 평택시 고덕면 여염리 1650공,56087.7
경기도 평택시 장당동 636 636-2,1958.0
경기도 평택시 이충동 615,10254.6
경기도 평택시 장안동 621,10088.5
경기도 평택시 가재동 436-1,25600.0
경기도 평택시 장안동 204-2,29646.0
경기도 평택시 가재동 산58-1,16340.0
경기도 평택시 장안동 61-4,13757.0
경기도 평택시 장안동 산130,15005.0
경기도 평택시 진위면 견산리 산16,36636.0
경기도 평택시 진위면 청호리 342-4,12100.1
경기도 평택시 이충동 692,14181.6
경기도 평택시 칠괴동 579-1,9895.7
경기도 평택시 진위면 가곡리 419-4,536.0
경기도 평택시 진위면 견산리 409-1 410-1,264.0
