공원명,면적,공원주소,위도,경도
개화근린공원,386500,서울특별시 강서구 개화동 산17,37.5813917,126.8068278
아차산생태공원,23450,서울특별시 광진구 광장동 370,37.5517142,127.1010031
인능산도시자연공원,2400833,서울특별시 서초구 내곡동 산12-404,37.4482109,127.0666632
구룡산,2752421,서울특별시 서초구 염곡동 산25-1,37.4689473,127.061567
우면산도시자연공원,4180551,서울특별시 서초구 우면동 산35-1,37.470484,127.0091324
향림근린공원,147859,서울특별시 은평구 진관동 산55,37.6293824,126.9240693
신사근린공원,111650,서울특별시 은평구 신사동 산80-4,37.5920771,126.9102948
광평근린공원,519782,서울특별시 강남구 수서동 산10-1,37.4880445,127.092184
청담근린공원,59347,서울특별시 강남구 청담동 66,37.5213259,127.052453
허브천문공원,25500,서울특별시 강동구 둔촌동 산94,37.5372715,127.1533951
연신내물빛공원,2560,서울특별시 은평구 통일로 849,37.619052,126.9207354
나들이근린공원,32000,서울특별시 중구 망우동 산 30-7 일대,37.6054218,127.113261
숭인근린공원,45615,서울특별시 종로구 숭인동 58,37.5764419,127.0178267
서일대뒷산공원,631021,서울특별시 중랑구 면목동 산19,37.5877155,127.0987817
용마도시자연공원(사가정공원),109635,서울특별시 중랑구 면목7동 산50 ,37.5797622,127.095997
문화비축기지,140022,서울특별시 마포구 증산로 87,37.57171848,126.8932455
경춘선숲길,211392,노원구 공릉2동 산 82-2,37.627077,127.076482
율현공원,157535,서울특별시 강남구 율현동 밤고개로24길(율현동 56),37.472332,127.115594
