행정구역,행정구역별(시군구),성별,합계,15세미만,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
부산광역시,동구,여자,42350,2897,1120,2014,2806,2479,2265,2370,2673,3317,3343,4320,3901,3244,2559,1893,1149
부산광역시,영도구,계,105137,7924,3329,5569,5922,4661,5173,6385,7429,8605,9068,11363,10042,7946,5936,3858,1927
부산광역시,영도구,남자,51516,4010,1691,2967,3343,2504,2763,3317,3864,4435,4486,5387,4629,3517,2498,1478,627
부산광역시,영도구,여자,53621,3914,1638,2602,2579,2157,2410,3068,3565,4170,4582,5976,5413,4429,3438,2380,1300
부산광역시,부산진구,계,339032,31319,11542,20853,28136,23475,22178,23484,24476,27342,27001,30771,24608,18013,12623,8676,4535
부산광역시,부산진구,남자,161689,15838,5762,9146,13733,11747,11359,11974,12188,13058,12829,14111,11468,8155,5433,3376,1512
부산광역시,부산진구,여자,177343,15481,5780,11707,14403,11728,10819,11510,12288,14284,14172,16660,13140,9858,7190,5300,3023
부산광역시,동래구,계,253765,30284,11077,12543,15640,14088,16338,19882,20681,21948,19969,22476,18310,13228,8828,5481,2992
부산광역시,동래구,남자,122694,15694,5719,6050,8106,7166,8070,9758,10077,10546,9280,10395,8346,6108,4051,2336,992
부산광역시,동래구,여자,131071,14590,5358,6493,7534,6922,8268,10124,10604,11402,10689,12081,9964,7120,4777,3145,2000
부산광역시,남구,계,252776,27165,10573,16810,16391,12740,14689,18794,20114,21486,19310,22145,18406,14096,10241,6423,3393
부산광역시,남구,남자,122974,13909,5408,8157,8919,6624,7435,9271,10203,10539,9278,10198,8353,6310,4559,2727,1084
부산광역시,남구,여자,129802,13256,5165,8653,7472,6116,7254,9523,9911,10947,10032,11947,10053,7786,5682,3696,2309
부산광역시,북구,계,272407,28767,10801,14589,18516,16191,16647,18677,19827,25034,26162,27752,19628,12927,8520,5373,2996
부산광역시,북구,남자,133613,14801,5603,7394,9765,8400,8636,9472,9596,11512,12447,13617,9537,6080,3825,2061,867
부산광역시,북구,여자,138794,13966,5198,7195,8751,7791,8011,9205,10231,13522,13715,14135,10091,6847,4695,3312,2129
부산광역시,해운대구,계,376093,44184,16644,18464,22679,19830,23321,29518,32122,35621,31774,32892,25639,17809,12309,8457,4830
부산광역시,해운대구,남자,179769,22723,8569,9001,11587,9781,11232,14089,15176,16802,15076,15350,12078,8103,5358,3297,1547
부산광역시,해운대구,여자,196324,21461,8075,9463,11092,10049,12089,15429,16946,18819,16698,17542,13561,9706,6951,5160,3283
부산광역시,사하구,계,292942,29716,11690,16934,19219,15938,18064,21079,21964,25845,25534,28987,22524,15480,10302,6363,3303
부산광역시,사하구,남자,144653,15331,5929,8404,10357,8556,9432,10960,10950,12554,12341,13685,10790,7183,4681,2508,992
부산광역시,사하구,여자,148289,14385,5761,8530,8862,7382,8632,10119,11014,13291,13193,15302,11734,8297,5621,3855,2311
부산광역시,금정구,계,220052,19698,8523,16292,16126,11546,11797,14401,15308,18453,19181,21406,17281,12501,8666,5655,3218
부산광역시,금정구,남자,107190,10139,4323,7794,9230,6152,6093,7222,7511,8693,9089,9980,7956,5741,3904,2313,1050
부산광역시,금정구,여자,112862,9559,4200,8498,6896,5394,5704,7179,7797,9760,10092,11426,9325,6760,4762,3342,2168
부산광역시,강서구,계,135295,27500,4167,4072,7031,10784,15556,14891,9790,8382,7969,9194,6730,4128,2493,1637,971
부산광역시,강서구,남자,69160,14158,2105,2060,3696,5311,7972,8099,5440,4315,3935,4474,3388,2087,1190,658,272
부산광역시,강서구,여자,66135,13342,2062,2012,3335,5473,7584,6792,4350,4067,4034,4720,3342,2041,1303,979,699
부산광역시,연제구,계,196305,21317,7440,9864,12872,12012,13094,14921,14980,16644,15466,17841,14795,10561,7281,4765,2452
부산광역시,연제구,남자,93801,10844,3782,4730,6365,5984,6563,7294,7330,7830,7274,8022,6796,4808,3334,2024,821
부산광역시,연제구,여자,102504,10473,3658,5134,6507,6028,6531,7627,7650,8814,8192,9819,7999,5753,3947,2741,1631
부산광역시,수영구,계,165473,14826,5305,8224,13404,11433,11042,11795,11786,13329,12615,15085,13112,9881,6814,4439,2383
부산광역시,수영구,남자,77902,7597,2734,3600,6474,5673,5481,5934,5690,6282,5721,6639,5843,4368,3131,1920,815
부산광역시,수영구,여자,87571,7229,2571,4624,6930,5760,5561,5861,6096,7047,6894,8446,7269,5513,3683,2519,1568
